title~views~uptime_y~uptime_m~uptime_d~link
As=C3=AD es el PRIMER OXXO del mundo | =C2=BFC=C3=B3mo fue tan exitoso? =F0=9F=9B=92~133,390~0~1~29~https://www.youtube.com/watch?v=3DWa7zKL2abFc
The $20 &quot;MAGIC&quot; Barbies: Do they really work?~7,594,814~3~37~1124~https://www.youtube.com/watch?v=3DII3nepbdC5k
Does the &quot;DEVOURING&quot; mosquito trap work like in their commercials? =F0=9F=A6=9F~7,519,327~3~37~1124~https://www.youtube.com/watch?v=3DB-zbhs_eNPY
Huawei battle: VERY CHEAP vs CHEAP vs EXPENSIVE | Which one is more convenient? | Y5P Y7P P30Pro =F0=9F=93=B1~3,465,098~3~37~1124~https://www.youtube.com/watch?v=3DsSegr__xSlM
I put pictures of me as a woman on dating apps.... =F0=9F=A4=A3~6,788,490~3~37~1124~https://www.youtube.com/watch?v=3DN8axHtxE2bs
I traveled more than 15 hours to get to know this subway city =F0=9F=98=B1.~8,248,807~3~37~1124~https://www.youtube.com/watch?v=3DvLE7C1b9_iM
Video para humanos del futuro: Esto es =E2=80=9CNORMAL=E2=80=9D en 2020~5,748,149~3~37~1124~https://www.youtube.com/watch?v=3DbvlYLGaEX-o
Alcohol=C3=ADmetro BARATO vs CARO | =C2=BFCu=C3=A1l detecta mejor? =F0=9F=98=B1~4,297,645~3~37~1124~https://www.youtube.com/watch?v=3DKcPnnehrnqE
As=C3=AD se ven mis DRAGONES ACU=C3=81TICOS dos semanas despu=C3=A9s =F0=9F=90=89=F0=9F=98=B1~9,282,449~3~37~1124~https://www.youtube.com/watch?v=3DGdMkZFAnH3A
Ella s=C3=B3lo me quer=C3=ADa COMO AMIGO =F0=9F=98=94~4,445,034~3~37~1124~https://www.youtube.com/watch?v=3D3kX_IDCo_4U
Tengo el tel=C3=A9fono Samsung que se dobla =F0=9F=98=B1 Vale la pena gastar TANTO? | Galaxy Z Flip =F0=9F=93=B1~9,601,053~3~37~1124~https://www.youtube.com/watch?v=3DqG87_Ot6-vg
Shaving with $5 vs $700 | CHEAP vs EXPENSIVE | Is there a difference? =F0=9F=AA=92~7,550,230~3~37~1124~https://www.youtube.com/watch?v=3Def5eDXznG1k
Cajas fuertes ocultas para esconder tu DINERO =F0=9F=92=B5=F0=9F=98=B1~3,427,731~3~37~1124~https://www.youtube.com/watch?v=3DRRNFY5hgjvk
Me puse creativo con NUTELLA y m&amp;m's =F0=9F=8D=AB=F0=9F=98=8B~2,878,772~3~37~1124~https://www.youtube.com/watch?v=3DBcUeUs72O7Q
ADIVINA EL TEQUILA | Barato vs Caro | =C2=BFSaben diferente?~5,904,806~3~37~1124~https://www.youtube.com/watch?v=3DaFipplYKMbw
Do AQUATIC DRAGONS really work? | Aqua Dragons =F0=9F=90=89=F0=9F=91=A8=F0=9F=8F=BB=E2=80=8D=F0=9F=94=AC~17,297,327~3~37~1124~https://www.youtube.com/watch?v=3DJIve97fmEBE
Personas que se han TATUADO MI CARA =F0=9F=98=B1~3,491,285~3~37~1124~https://www.youtube.com/watch?v=3DOhPbOCgDnzg
Este tel=C3=A9fono tiene RAYOS X en su c=C3=A1mara | OnePlus 8 Pro~5,245,509~3~37~1124~https://www.youtube.com/watch?v=3DAB3nIxLEHMk
GUESS THE WHISKY | Cheap vs. Expensive | Do they taste different? =F0=9F=A5=83~12,212,209~3~37~1124~https://www.youtube.com/watch?v=3DyqVJNkB0j8g
Bicicleta el=C3=A9ctrica CARA vs BARATA | =C2=BFCu=C3=A1l es mejor? =F0=9F=9A=B2=E2=9A=A1~3,386,256~3~37~1124~https://www.youtube.com/watch?v=3DFo_auZp3dWU
I HAVE THE VIRUS | Aislados: ep 3/4~2,403,307~3~37~1124~https://www.youtube.com/watch?v=3DOjtKT7rOKVE
WE CAN=E2=80=99T GO OUT | Aislados: ep 1/4~6,870,219~3~37~1124~https://www.youtube.com/watch?v=3D2pnhvb3lfLE
MY HOUSE TOUR =F0=9F=8F=A0 | House Tour 2020~9,575,597~3~37~1124~https://www.youtube.com/watch?v=3DWQPiDnBIVxQ
Anonymous revel=C3=B3 esto ahora...~3,640,606~3~37~1124~https://www.youtube.com/watch?v=3DbyfyMqzrNvE
Aislados: Our documentary | Trailer | SO EXCITING =F0=9F=98=B1~1,699,212~3~37~1124~https://www.youtube.com/watch?v=3D-30qNTjGQHw
Mascarilla electr=C3=B3nica BARATA vs CARA | =C2=BFSon la soluci=C3=B3n?~5,374,220~3~37~1124~https://www.youtube.com/watch?v=3DJxenE4O5-cM
Arregla tu pantalla rota con PASTA DENTAL | TikTok Hacks #4~15,706,618~3~37~1124~https://www.youtube.com/watch?v=3Dc6di0wi58Yc
Los aud=C3=ADfonos Huawei =E2=80=9Cm=C3=A1s baratos=E2=80=9D y =E2=80=9CMEJORES=E2=80=9D que los de Apple | =C2=BFEs verdad? | Freebuds 3 =F0=9F=8E=A7~5,088,821~3~37~1124~https://www.youtube.com/watch?v=3Dgkijobi7R3A
THE HAMBURGER CHALLENGE | McDonald's VS Carl's Jr VS Burger King =F0=9F=8D=94~9,703,817~3~37~1124~https://www.youtube.com/watch?v=3DO9QxtxgvfCk
The &quot;INDESTRUCTIBLE&quot; phone that stands up to EVERYTHING | How tough is it really? =F0=9F=93=B1~8,579,175~3~37~1124~https://www.youtube.com/watch?v=3DmfVi9rDyij8
=C2=BFFunciona como en sus comerciales OXI-CLEAN quita-manchas? =F0=9F=91=95~6,396,871~3~37~1124~https://www.youtube.com/watch?v=3DCk28_6ZhnLs
EXPERIMENTOS CASEROS SORPRENDENTES =F0=9F=98=B1 | Luisillo El Cient=C3=ADfico =F0=9F=91=A8=F0=9F=8F=BB=E2=80=8D=F0=9F=94=AC=F0=9F=A7=AA~3,952,144~3~37~1124~https://www.youtube.com/watch?v=3DbJSyUIbndKM
Prepar=C3=A9 mi propia hamburguesa de SHAKE SHACK | Receta secreta =F0=9F=8D=94~3,347,452~3~37~1124~https://www.youtube.com/watch?v=3DpRyVksDlUqs
Cosas que tengo que MUY POCA gente en el mundo tiene... =F0=9F=A4=AB~5,356,878~3~37~1124~https://www.youtube.com/watch?v=3Dhy-8NXB4EUg
Compr=C3=A9 el nuevo iPhone &quot;S=C3=9APER BARATO&quot; | =C2=BFVale la pena? | iPhone SE~11,888,360~3~37~1124~https://www.youtube.com/watch?v=3DJm0kHfV9pxY
I discovered the NUTELLA'S secret | TikTok Hacks #3~13,006,287~3~37~1124~https://www.youtube.com/watch?v=3Doh7YEPift8g
Does the SUPER POWERFUL TV sharpener work | Infomercial Products =F0=9F=94=AA=F0=9F=98=B1~13,646,122~3~37~1124~https://www.youtube.com/watch?v=3DV-UWzCLhCUw
El robot sirvienta que limpia tu casa | =C2=BFVale la pena? =F0=9F=A4=96=F0=9F=A7=B9~3,616,903~3~37~1124~https://www.youtube.com/watch?v=3DegVHakAz4wI
=C2=BFC=C3=B3mo se vive la pandemia desde adentro de una prisi=C3=B3n? | C=C3=A1rcel de Mujeres~2,459,961~3~37~1124~https://www.youtube.com/watch?v=3Do7OT_t9yF6g
La c=C3=A1mara M=C3=81S CARA que he comprado | Canon R | =C2=BFPor qu=C3=A9 cuesta TANTO? =F0=9F=93=B7~2,916,582~3~37~1124~https://www.youtube.com/watch?v=3DLKNkxRw7JN0
Leyendo SECRETOS de seguidores por Instagram~2,923,362~3~37~1124~https://www.youtube.com/watch?v=3DazKEdvCEr8U
REACCIONANDO A MEMES QUE HACEN DE M=C3=8D #999~2,413,199~3~37~1124~https://www.youtube.com/watch?v=3D0BsifbzukEA
La maleta que se vuelve SCOOTER | =C2=BFBasura o compra inteligente? =F0=9F=A7=B3=F0=9F=9B=B4~2,537,326~3~37~1124~https://www.youtube.com/watch?v=3DBrdG1kMM2UM
=C2=BFQu=C3=A9 dice internet de m=C3=AD? | Rumores de GOOGLE =F0=9F=A4=AB~3,045,789~3~37~1124~https://www.youtube.com/watch?v=3DcRlHZ3IQSYI
I bought a &quot;SMART&quot; ROBOT that is an assistant =F0=9F=A4=96=F0=9F=98=B1 | Is it worth it?~11,059,136~3~37~1124~https://www.youtube.com/watch?v=3D9LAC98Wxa0o
=C2=BFCu=C3=A1l es el pastelillo M=C3=81S DELICIOSO del mundo? =F0=9F=8D=B0=F0=9F=98=8B~5,900,903~3~37~1124~https://www.youtube.com/watch?v=3D0y5KVZ2EoTA
Entr=C3=A9 a una sala s=C3=B3lo PARA ADULTOS en Jap=C3=B3n... =F0=9F=A4=AB=E3=8A=99=EF=B8=8F~3,843,617~3~37~1124~https://www.youtube.com/watch?v=3DePDdypIUaH8
Les muestro mi MILLONARIA colecci=C3=B3n de imanes =F0=9F=A4=91 (realmente no es millonaria)~3,088,754~3~37~1124~https://www.youtube.com/watch?v=3DVwrE_2cLH2s
Viendo cosas 1,000 veces su tama=C3=B1o con un microscopio =F0=9F=94=AC=F0=9F=98=B1~4,869,867~3~37~1124~https://www.youtube.com/watch?v=3DL_V_fVsxUhk
=C2=BFC=C3=B3mo hacer una PIZZA-HAMBURGUESA? =F0=9F=8D=95=F0=9F=8D=94 | Chef Luisillo =F0=9F=91=A8=F0=9F=8F=BD=E2=80=8D=F0=9F=8D=B3~5,040,363~3~37~1124~https://www.youtube.com/watch?v=3D7NwgKhEobg0
Un d=C3=ADa trabajando en una GRANJA =F0=9F=91=A8=F0=9F=8F=BD=E2=80=8D=F0=9F=8C=BE~3,919,784~3~37~1124~https://www.youtube.com/watch?v=3Dr7e0btzn_rs
S=C3=AD pude viajar a pesar de todo...~5,245,822~3~37~1124~https://www.youtube.com/watch?v=3DFRydH4g84gU
=C2=A1=C2=BFPor qu=C3=A9 dicen que NO soy GRACIOSO?! =F0=9F=98=A1=F0=9F=98=A4~2,559,434~3~37~1124~https://www.youtube.com/watch?v=3DLHAgk814kGE
I bought a Japanese &quot;smart&quot; toilet =F0=9F=9A=BD Is it worth spending THAT much?~10,418,921~3~37~1124~https://www.youtube.com/watch?v=3DjeKCEAgL7o0
La hamburguesa S=C3=9APER GORDA rellena de queso =F0=9F=8D=94 | Chef Luisillo =F0=9F=91=A8=F0=9F=8F=BD=E2=80=8D=F0=9F=8D=B3~4,746,089~3~37~1124~https://www.youtube.com/watch?v=3Dh4jnwKK_wqw
Accesorios riesgosos que NO deber=C3=ADas comprarle a tu tel=C3=A9fono =F0=9F=93=B1=F0=9F=92=80~16,070,398~3~37~1124~https://www.youtube.com/watch?v=3D3fx7jfGuHxo
=C2=BFC=C3=B3mo cargar tu tel=C3=A9fono con FRUTA? =F0=9F=94=8C=F0=9F=8D=8C | Tik Tok Hacks #2~8,192,034~3~37~1124~https://www.youtube.com/watch?v=3DLhUMxY7sXNU
Encontr=C3=A9 PIRATER=C3=8DA de mi marca de ropa! =F0=9F=98=B1 =C2=BFQu=C3=A9 tan mala es?~6,128,143~3~37~1124~https://www.youtube.com/watch?v=3DPwUbYTuSSTY
Todas tus dudas sobre CORONAVIRUS resueltas por un experto =F0=9F=A6=A0 | COVID-19~2,057,888~3~37~1124~https://www.youtube.com/watch?v=3D_0i0MB3M47c
Instal=C3=A9 una alberca en mi casa =F0=9F=98=8E =F0=9F=8F=8A=F0=9F=8F=BC=E2=80=8D=E2=99=82~3,231,408~3~37~1124~https://www.youtube.com/watch?v=3DrRiy_Bhi0lc
As=C3=AD est=C3=A1n las calles actualmente por la cuarentena...~3,404,239~3~37~1124~https://www.youtube.com/watch?v=3DjDqTccxkRAI
Compr=C3=A9 un Huawei Mate 30 Pro FALSO | =C2=BFQu=C3=A9 tan malo es? =F0=9F=98=B1~9,908,226~3~37~1124~https://www.youtube.com/watch?v=3DdjYTE8itubk
=C2=BFC=C3=B3mo preparar LANGOSTAS a la parrilla? =F0=9F=A6=9E | Chef Luisillo =F0=9F=91=A8=F0=9F=8F=BD=E2=80=8D=F0=9F=8D=B3~6,108,378~3~37~1124~https://www.youtube.com/watch?v=3Dd_2TAvl8AhE
=C2=BFQu=C3=A9 pasa con la comida que desperdiciamos? =F0=9F=97=91=F0=9F=8D=97 | Banco de Alimentos~3,363,571~3~37~1124~https://www.youtube.com/watch?v=3DZ5wrtW7cpt4
Why did I stop traveling around the world?~7,228,854~3~37~1124~https://www.youtube.com/watch?v=3DcALjH2ulXlg
This is the reality of the supermarkets due to panic buying...~8,811,104~3~37~1124~https://www.youtube.com/watch?v=3DlvGMKvw9yaw
El primer tel=C3=A9fono de Huawei que YA NO USA GOOGLE! =F0=9F=98=B1 | Mate 30 Pro~12,891,618~3~37~1124~https://www.youtube.com/watch?v=3D31pvf8JWF4M
Al=C3=A9jate de este =C3=81RBOL VENENOSO =E2=98=A0  | Yucat=C3=A1n, M=C3=A9xico~3,269,607~3~37~1124~https://www.youtube.com/watch?v=3DhDe_mHU2Fjw
What is it like to sleep in an AIRPLANE HOTEL? =E2=9C=88 | Luxury Camping~6,803,392~3~37~1124~https://www.youtube.com/watch?v=3Dxi9aE62sugk
Compr=C3=A9 un iPhone 11 Pro FALSO | =C2=BFQu=C3=A9 tan malo es? =F0=9F=93=B1~15,668,823~3~37~1124~https://www.youtube.com/watch?v=3D841SAwzCQso
The famous hotel made with Bochitos - Beettles | VOCHO HOTEL =F0=9F=9A=99l~12,716,468~3~37~1124~https://www.youtube.com/watch?v=3Df2rw8aRsKs4
As=C3=AD son las advertencias en cigarros de diferentes pa=C3=ADses | =C2=BFREALMENTE SIRVEN? =F0=9F=9A=AC~1,925,631~3~37~1124~https://www.youtube.com/watch?v=3Df_FEOjzqvRA
Compr=C3=A9 unos AirPods PIRATAS por $5 | =C2=BFQu=C3=A9 tan malos son?~10,136,031~3~37~1124~https://www.youtube.com/watch?v=3DkB4QsDckjpo
This is how a day without women was lived | National Strike~8,349,837~3~37~1124~https://www.youtube.com/watch?v=3Dd0FZ4c4BVjQ
=C2=BFC=C3=B3mo es vivir en un campamento de manifestantes en la calle? =E2=9B=BA~2,399,186~3~37~1124~https://www.youtube.com/watch?v=3DNm4juCxhInc
Me convert=C3=AD en DRAG QUEEN por un d=C3=ADa =F0=9F=91=A0=F0=9F=92=84~5,466,795~3~37~1124~https://www.youtube.com/watch?v=3DRKLf1dArdOw
Tengo el tel=C3=A9fono HUAWEI que se dobla =F0=9F=98=B1 =C2=BFVale la pena gastar TANTO? | Huawei Mate XS~26,347,970~3~37~1124~https://www.youtube.com/watch?v=3DXmxp0wuXjjo
As=C3=AD se ve Nueva York en REALIDAD VIRTUAL | New York 360=C2=B0~3,415,434~3~37~1124~https://www.youtube.com/watch?v=3DSI1IOZqpNUA
How is the CHEAPEST hotel in all of New York? =F0=9F=9B=8F~8,509,058~3~37~1124~https://www.youtube.com/watch?v=3DHycz4d3pd3A
TESTING $1 PIZZAS =F0=9F=8D=95 Which one is the best?~12,748,449~3~37~1124~https://www.youtube.com/watch?v=3Du5_lfbFfZgA
Tanta comida me est=C3=A1 ENGORDANDO...~3,145,294~3~37~1124~https://www.youtube.com/watch?v=3Dx89205dUzVE
Mu=C3=A9strame tu talento oculto y te doy $500! =F0=9F=92=B5~6,061,421~3~37~1124~https://www.youtube.com/watch?v=3DLPPwEMwUpjo
I bought SPECTACULAR ads to make people smile =F0=9F=98=81.~6,964,264~3~37~1124~https://www.youtube.com/watch?v=3Ds16fMiWXZzU
Me sent=C3=A9 a platicar con un Premio Nobel de la Paz | MELIXP~1,114,979~3~37~1124~https://www.youtube.com/watch?v=3D5tsYRfx-jSQ
I entered a castle of REAL VAMPIRES =F0=9F=A7=9B=F0=9F=8F=BD=E2=80=8D=E2=99=82 | Devil's Castle =F0=9F=8F=B0~9,692,366~3~37~1124~https://www.youtube.com/watch?v=3D6-tPnGgexjU
What is it like to WALK across the U.S. border? =F0=9F=87=BA=F0=9F=87=B8=F0=9F=9A=B6=F0=9F=8F=BD=F0=9F=87=B2=F0=9F=87=BD~7,074,300~3~37~1124~https://www.youtube.com/watch?v=3Dz4LnZxPcFWk
What is it like to sleep in a BUBBLE HOTEL? | Luxury Camping~21,975,100~3~37~1124~https://www.youtube.com/watch?v=3DdFzM3LlQjAA
Algo desagradable fue captado en mi video...~9,790,578~3~37~1124~https://www.youtube.com/watch?v=3D9ZQIAgPYyDk
A whole day with me in VIRTUAL REALITY | 360 VIDEO~15,308,630~3~37~1124~https://www.youtube.com/watch?v=3Dpw3ecbMuDcU
I bought the extremely EXPENSIVE Bose headphone glasses =F0=9F=92=B0Is it worth spending SO MUCH =F0=9F=91=93=F0=9F=8E=A7.~7,506,102~3~37~1124~https://www.youtube.com/watch?v=3D6GMMmfaC7aQ
How did I make the official voice of SONIC with NOTHING of experience? | Behind the Scenes =F0=9F=8E=99=F0=9F=A6=94=F0=9F=8D=BF.~10,975,288~3~37~1124~https://www.youtube.com/watch?v=3D5kH2thEkzFU
Viv=C3=AD un d=C3=ADa digno de un ACTOR DE HOLLYWOOD =F0=9F=8E=AC=F0=9F=8E=A5~3,961,993~3~37~1124~https://www.youtube.com/watch?v=3DCR7d-QwNtw0
Dije la palabra PROHIBIDA... =F0=9F=A4=AD~2,073,347~3~37~1124~https://www.youtube.com/watch?v=3D5QkK6YJUWXY
I bought a &quot;SMART&quot; ROBOT =F0=9F=A4=96 How smart is it really?~10,362,729~3~37~1124~https://www.youtube.com/watch?v=3Dy58VR8TPlQw
Bicicletas CARAS vs BARATAS =F0=9F=9A=B2 Creo que gasto DEMASIADO =F0=9F=98=B1=F0=9F=92=B0~5,106,730~3~37~1124~https://www.youtube.com/watch?v=3DjZxoGCWcCpA
=C2=BFCu=C3=A1nto compramos con $20 en una TIENDA DE PULGAS? =F0=9F=9B=8D=F0=9F=92=B0 | Thrift Shop~4,851,277~3~37~1124~https://www.youtube.com/watch?v=3DEIwXNlIl3KA
People line up HOURS for these burgers =F0=9F=8D=94 | In-N-Out =F0=9F=87=BA=F0=9F=87=B8~9,853,702~3~37~1124~https://www.youtube.com/watch?v=3DMq7FEcNq7IY
Un hombre me est=C3=A1 buscando POR TODO EL MUNDO =F0=9F=98=B1=F0=9F=8C=8E~3,038,215~3~37~1124~https://www.youtube.com/watch?v=3Do65HKAaw1YU
This is the LAST Blockbuster left in the world =F0=9F=98=B1=F0=9F=8E=AC.~8,503,001~3~37~1124~https://www.youtube.com/watch?v=3DEP6Ra2QNeXw
Visitando el museo para tomar SELFIES divertidas de Instagram =F0=9F=A4=B3~5,288,081~3~37~1124~https://www.youtube.com/watch?v=3DrT61Ow0UcwQ
Descifrando el EFECTO TUSA~3,992,572~3~37~1124~https://www.youtube.com/watch?v=3D2lMgWOSJbD4
Este peque=C3=B1o necesita nuestra ayuda...~2,372,820~3~37~1124~https://www.youtube.com/watch?v=3DktSffS3LFes
=C2=BFEn qu=C3=A9 trabaja y gana dinero una persona TRAS LAS REJAS? | Prisi=C3=B3n de Mujeres~5,242,531~3~37~1124~https://www.youtube.com/watch?v=3DHjGpC99lAyA
What's it like to raise a child INSIDE prison? | Women's Prison~19,640,976~3~37~1124~https://www.youtube.com/watch?v=3Dkm_Z-0ocFpg
People line up TWO HOURS for one of these =F0=9F=8D=94 | La Esquina del Chilaquil~12,635,232~3~37~1124~https://www.youtube.com/watch?v=3DWoW6QI5-dhI
I found PIRACY from my book=F0=9F=98=B1 ORIGINAL vs FAKE.~13,049,590~3~37~1124~https://www.youtube.com/watch?v=3DaBbFEL-0FXU
Testing TikTok HACKS: FREE iPhone and CLAW machine! =F0=9F=98=B1~11,179,867~3~37~1124~https://www.youtube.com/watch?v=3DWwlkI844mrc
=C2=BFC=C3=B3mo entrenan a PALOMAS para grabar pel=C3=ADculas y comerciales?~2,836,004~3~37~1124~https://www.youtube.com/watch?v=3DICGVd2jqrzA
No puede ser LEGAL que esto pase en Instagram!~3,886,163~3~37~1124~https://www.youtube.com/watch?v=3DZJ95X8ZSy6U
Do these &quot;magic&quot; ear cleaning candles really work? =F0=9F=91=82=F0=9F=A4=94~18,851,801~3~37~1124~https://www.youtube.com/watch?v=3DMHjdX1qcpsU
2019: El a=C3=B1o que me hizo sentir en la CIMA DEL MUNDO~2,909,299~3~37~1124~https://www.youtube.com/watch?v=3DnVxLhMJApPo
Top 5 MIS POL=C3=89MICAS 2019~4,989,812~3~37~1124~https://www.youtube.com/watch?v=3D6VKJMIi_dRg
Un palacio entero para m=C3=AD solito | L=C3=8DBANO =F0=9F=87=B1=F0=9F=87=A7~2,021,559~3~37~1124~https://www.youtube.com/watch?v=3DnZcwk5SCuO0
Este restaurante hace comida en forma de POLLAS =F0=9F=90=93=F0=9F=8D=B0~6,006,197~3~37~1124~https://www.youtube.com/watch?v=3Di_jLdkzl_K0
I flew with the most expensive airline EMIRATES =F0=9F=92=B8 Is it worth paying SO MUCH? =F0=9F=9B=A9=EF=B8=8F~24,000,595~3~37~1124~https://www.youtube.com/watch?v=3D2I5Qh35SSP0
El robo M=C3=81S GRANDE de Dubai | Dubai Frame =F0=9F=96=BC =F0=9F=87=A6=F0=9F=87=AA~5,120,218~3~37~1124~https://www.youtube.com/watch?v=3DrbMjPtUsJj4
El jard=C3=ADn de flores M=C3=81S CARO del mundo! | Dubai =F0=9F=8C=B8=F0=9F=87=A6=F0=9F=87=AA~6,050,040~3~37~1124~https://www.youtube.com/watch?v=3D0TxRPnreZ58
Visitando un supermercado en L=C3=8DBANO =F0=9F=9B=92=F0=9F=87=B1=F0=9F=87=A7~4,363,031~3~37~1124~https://www.youtube.com/watch?v=3DyfzWTEZXU2M
La ciudad donde se invent=C3=B3 la Biblia | BIBLOS, L=C3=8DBANO =F0=9F=87=B1=F0=9F=87=A7~4,669,554~3~37~1124~https://www.youtube.com/watch?v=3DxEIX2njsIn4
A day in a country in conflict: LEBANON =F0=9F=87=B1=F0=9F=87=A7~10,779,502~3~37~1124~https://www.youtube.com/watch?v=3DiboVVL3OAQ8
Tour express imperdible por MADRID =F0=9F=87=AA=F0=9F=87=B8=F0=9F=A5=A9~4,361,489~3~37~1124~https://www.youtube.com/watch?v=3DPAiKqQ51IW8
Mi mam=C3=A1 viaja en primera clase por primera vez! =E2=9D=A4~4,770,434~3~37~1124~https://www.youtube.com/watch?v=3DAWIg43uquOQ
=C2=BFPor qu=C3=A9 no sal=C3=AD en el YouTube Rewind 2019?~4,029,603~3~37~1124~https://www.youtube.com/watch?v=3Dqqez5mVTAkM
=C2=BFC=C3=B3mo sacar un NUEVO PASAPORTE para viajar?~1,663,176~3~37~1124~https://www.youtube.com/watch?v=3DWOOgYsiotUU
Esta ciudad me va a volver LOCO~2,231,522~3~37~1124~https://www.youtube.com/watch?v=3D9VAz-UEypxs
Compr=C3=A9 los aud=C3=ADfonos rid=C3=ADculamente CAROS de Apple: =C2=BFvale la pena gastar TANTO? | AirPods Pro~10,088,393~3~37~1124~https://www.youtube.com/watch?v=3DSjsyrvkonJ4
The MOST DANGEROUS tradition of Ecuador =F0=9F=A7=A8=F0=9F=87=AA=F0=9F=87=A8 | A=C3=B1o Viejo~6,860,303~3~37~1124~https://www.youtube.com/watch?v=3DLguIzHbVnME
=C2=BFPor qu=C3=A9 siempre se burlan de m=C3=AD? :=E2=80=99c | =E2=80=9CEl Gre=C3=B1as=E2=80=9D MEMES~2,646,422~3~37~1124~https://www.youtube.com/watch?v=3D91znYjB42Qw
Mi fin ha llegado... | El Gre=C3=B1as 3/3~6,101,029~3~37~1124~https://www.youtube.com/watch?v=3DHpmZn_f3k0k
My difficult life inside prison... | The Gre=C3=B1as 2/3~11,239,045~3~37~1124~https://www.youtube.com/watch?v=3D14PQ56EOTbM
They want to put me in JAIL! El Gre=C3=B1as 1/3 (Ft. Dross)~11,833,409~3~37~1124~https://www.youtube.com/watch?v=3DOgKImL2IB5I
Beware of these POISONOUS plants! | Galapagos Islands =F0=9F=98=B1=F0=9F=8F=9D~7,126,776~3~37~1124~https://www.youtube.com/watch?v=3DFjXowYhQlik
Abriendo REGALOS =C3=89PICOS de suscriptores =F0=9F=8E=81=F0=9F=98=8D~3,901,123~3~37~1124~https://www.youtube.com/watch?v=3D2VdVr3m-J4Q
This man became a millionaire by working with his donkey =F0=9F=8F=9D Gal=C3=A1pagos =F0=9F=8F=9D~13,641,546~3~37~1124~https://www.youtube.com/watch?v=3DGWj1Q0_7TRo
Analyzing the strangest species in the Galapagos Islands =F0=9F=A6=88=F0=9F=8F=9D~13,855,913~3~37~1124~https://www.youtube.com/watch?v=3DBn_-m5gfQBQ
The paradise of the GIGANTIC TURTLES : Galapagos Islands =F0=9F=90=A2~13,677,943~3~37~1124~https://www.youtube.com/watch?v=3DIfcAES2n1RQ
I fell in love in Ecuador ALV =F0=9F=87=AA=F0=9F=87=A8 =E2=9D=A4~8,509,016~3~37~1124~https://www.youtube.com/watch?v=3DiisPgquoCoU
=C2=BFCu=C3=A1nto dinero se gana con un libro? =F0=9F=93=9A=F0=9F=92=B0~2,125,902~3~37~1124~https://www.youtube.com/watch?v=3DnEJzP7GYdew
100 questions in 5 MINUTES!~10,495,326~3~37~1124~https://www.youtube.com/watch?v=3DxtabIXbHieg
This is what a prison cell for babies looks like | Neza, Mexico~9,756,204~3~37~1124~https://www.youtube.com/watch?v=3Dj8jGeIZXNe0
The harsh reality inside a women's prison : Otumba, Mexico~11,987,602~3~37~1124~https://www.youtube.com/watch?v=3DiOb13SoAJE8
I prepared the MOST SPICY BURGER IN THE WORLD =F0=9F=8D=94=F0=9F=8C=B6~12,255,504~3~37~1124~https://www.youtube.com/watch?v=3D8s4FmUS23ZU
Probando comida para ZOMBIES | Luisillo El Gordillo~6,259,061~3~37~1124~https://www.youtube.com/watch?v=3DNFwwvacPuk4
El drone profesional M=C3=81S PEQUE=C3=91O del mundo! | DJI Mavic Mini Review~4,417,164~3~37~1124~https://www.youtube.com/watch?v=3DY6TxPpjx3bI
Me convert=C3=AD en el payaso ESO por un d=C3=ADa =F0=9F=A4=A1=F0=9F=8E=88~2,454,644~3~37~1124~https://www.youtube.com/watch?v=3D129GSLUvdKU
Reaccionando a memes de MI HERMANA~5,340,762~3~37~1124~https://www.youtube.com/watch?v=3DuFeVohQhnbI
SI ME HACES RE=C3=8DR TE PAGO $500~15,700,207~3~37~1124~https://www.youtube.com/watch?v=3DOFX2QArdqT8
I'm fine...~6,782,190~3~37~1124~https://www.youtube.com/watch?v=3DTX_gFvqMSdo
Probando el pez dinosaurio PEJELAGARTO | Chiapas~5,774,612~3~37~1124~https://www.youtube.com/watch?v=3D4_joR354Ax0
Google quiere recrear estas pir=C3=A1mides antiguas usando robots | Palenque, Chiapas~2,649,190~3~37~1124~https://www.youtube.com/watch?v=3DXUCLL575Ov0
My XV birthday party =E2=9D=A4=EF=B8=8F=F0=9F=91=97~9,693,381~3~37~1124~https://www.youtube.com/watch?v=3D7dNVFrwnd9A
What's in a maximum security prison cell? | The New Prison~20,541,820~4~49~1490~https://www.youtube.com/watch?v=3DVWmcAc7XaKw
This is how people live in a mentall ill prision | Topochico, Mexico~46,213,483~4~49~1490~https://www.youtube.com/watch?v=3D9S_cpitI3jU
PROHIBIDO BESARSE EN P=C3=9ABLICO =F0=9F=9A=AB | Trebisonda~2,910,453~4~49~1490~https://www.youtube.com/watch?v=3DfG-FgL4zWUU
No sab=C3=ADa que este pa=C3=ADs tan siquiera exist=C3=ADa | TRABZON - AZERBAIY=C3=81N~4,125,113~4~49~1490~https://www.youtube.com/watch?v=3DqbSuujX5MQU
EL BROMAS~5,664,700~4~49~1490~https://www.youtube.com/watch?v=3Dy6_ExNtnSdk
How many photos do I get asked for on the street on a normal day?~12,059,382~4~49~1490~https://www.youtube.com/watch?v=3Dm0aTSpmuh2M
iPhone 11 y su c=C3=A1mara: =C2=BFQu=C3=A9 tan MALA o BUENA es?~4,065,875~4~49~1490~https://www.youtube.com/watch?v=3DqdD4_KB6nok
