title~views~uptime_y~uptime_m~uptime_d~link
'Jimin's Production Diary' Main Trailer~910,836~0~2~55~https://www.youtube.com/watch?v=3DRGYkRNdsd1Y
'Jimin's Production Diary' Teaser Trailer~755,409~0~2~57~https://www.youtube.com/watch?v=3Djvq-6XUeh_A
[=EC=8A=88=EC=B7=A8=ED=83=80] EP.19 TEASER~779,760~0~2~57~https://www.youtube.com/watch?v=3DL6ynJ8sftQU
141021 =EC=A7=84~106,632~8~98~2974~https://www.youtube.com/watch?v=3DryfhbVHwpqA
141022 =EB=B7=94~303,805~8~98~2974~https://www.youtube.com/watch?v=3DhnHLfaOdEGo
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 Kakao Talk Emoticon release~177,892~8~98~2974~https://www.youtube.com/watch?v=3DLZdjtICpTvE
[BANGTAN BOMB] what are BTS members doing? (j-hope cam) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,112,531~8~98~2974~https://www.youtube.com/watch?v=3DRpib1e0SnOg
141021 =EB=9E=A9=EB=AA=AC=EC=8A=A4=ED=84=B0~85,899~8~98~2974~https://www.youtube.com/watch?v=3Dr3Ep34QSDeU
[BANGTAN BOMB] V's monologue - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~456,789~8~98~2974~https://www.youtube.com/watch?v=3DUnFzmMaiSFs
SUGA=EC=9D=98 DARK&amp;WILD Album review~644,824~8~98~2974~https://www.youtube.com/watch?v=3DOgSqDPetZ3A
141021 =EC=A0=95=EA=B5=AD~176,551~8~98~2974~https://www.youtube.com/watch?v=3DMEbEZY43-fo
[BANGTAN BOMB] lip sync princes - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~446,748~8~98~2974~https://www.youtube.com/watch?v=3DYkZlCUrtaaA
141020 =EC=A7=80=EB=AF=BC~143,019~8~98~2974~https://www.youtube.com/watch?v=3DIiHejyY-qdQ
[BANGTAN BOMB] Beautiful (BTS ver.) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~766,250~8~98~2974~https://www.youtube.com/watch?v=3DTZnNlJXyswU
[BANGTAN BOMB] SUGA's sleep mate - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~526,441~8~98~2974~https://www.youtube.com/watch?v=3DTdCLa9lIyEE
[BANGTAN BOMB] follow BTS! (j-hope Cam)~4,797,568~8~98~2974~https://www.youtube.com/watch?v=3DRy4nTUzdKcU
[BANGTAN BOMB] how to take a selfie - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~554,304~8~98~2974~https://www.youtube.com/watch?v=3DbPhuBB1b5vw
[BANGTAN BOMB] Enjoy 2014 Halloween~24,335,969~8~98~2974~https://www.youtube.com/watch?v=3DdM-tG7B0p4c
[BANGTAN BOMB] Rapmon's Dance lesson - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~529,015~8~98~2974~https://www.youtube.com/watch?v=3DHM0_GT9flaA
[Shout-out] 11=EC=9B=94 13=EC=9D=BC =EB=8C=80=ED=95=99=EC=88=98=ED=95=99=EB=8A=A5=EB=A0=A5=EC=8B=9C=ED=97=98=EC=9D=84 =EB=B3=B4=EB=8A=94 =EC=95=84=EB=AF=B8=EB=93=A4=EC=97=90=EA=B2=8C =EA=B8=B0=EB=A5=BC!~219,523~8~98~2974~https://www.youtube.com/watch?v=3Dnk7pUMyMYcQ
[BANGTAN BOMB] War of hormone  in Halloween~48,125,725~8~98~2974~https://www.youtube.com/watch?v=3DZxEly3yz-1g
[BANGTAN BOMB] Jimin is on the phone with Ms.A.R.M.Y. - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,464,334~8~98~2974~https://www.youtube.com/watch?v=3DZrA6Oq94Cjo
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 Guess what?~572,426~8~98~2974~https://www.youtube.com/watch?v=3Dc2nBVdPZVaA
[BANGTAN BOMB] BTS Cypher Fan no.1 V - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,342,748~8~98~2974~https://www.youtube.com/watch?v=3DKJljGcOOLrg
[CHOREOGRAPHY] BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8) '=ED=98=B8=EB=A5=B4=EB=AA=AC=EC=A0=84=EC=9F=81' Dance practice~18,647,527~8~98~2974~https://www.youtube.com/watch?v=3DJumcC5jFcQc
[BANGTAN BOMB] Dance #2 Wiggle!~796,556~8~98~2974~https://www.youtube.com/watch?v=3DNK2DefWDAl0
[BANGTAN BOMB] Dance #1. Drop That NaeNae!~597,446~8~98~2974~https://www.youtube.com/watch?v=3D8pS8MrNQr_I
140927 V~249,488~8~98~2974~https://www.youtube.com/watch?v=3Di8E0mMB9VZM
[EPISODE] 'War of Hormone' MV &amp; Photo shooting~5,017,177~8~98~2974~https://www.youtube.com/watch?v=3DN5OulgZOJ-4
[BANGTAN BOMB] While You Were Sleeping - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,041,495~9~110~3339~https://www.youtube.com/watch?v=3D2eRIu8lAnZs
[BANGTAN BOMB] Hi! Let me introduce myself! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~388,839~9~110~3339~https://www.youtube.com/watch?v=3DqfGrBhwgXl8
[BANGTAN BOMB] Grasping power fight with V - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~633,132~9~110~3339~https://www.youtube.com/watch?v=3DYJh6da3yBYI
[BANGTAN BOMB] 'Danger' last day mission - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,704,676~9~110~3339~https://www.youtube.com/watch?v=3DbC0jTAxhO9U
140913 =EC=A7=84 &amp; =EB=9E=A9=EB=AA=AC=EC=8A=A4=ED=84=B0~142,919~9~110~3339~https://www.youtube.com/watch?v=3D9YO_R4ugDyQ
[BANGTAN BOMB] Jimin's dance detail practice - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,277,666~9~110~3339~https://www.youtube.com/watch?v=3Dgp3QX3qKEa4
140911 =EC=A0=9C=EC=9D=B4=ED=99=89&amp;=EB=B7=94~115,164~9~110~3339~https://www.youtube.com/watch?v=3Dq3cOW-8SX3E
[BANGTAN BOMB] BTS got a sunglass from Mpd! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~403,870~9~110~3339~https://www.youtube.com/watch?v=3DJUINrb3oHKo
[BANGTAN BOMB] SUGA's eyes &amp; Jimin's delusion lol - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~506,458~9~110~3339~https://www.youtube.com/watch?v=3DnLylGXNZ-C0
[BANGTAN BOMB] SUGA free...? HOPE free..? MON free! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,899,353~9~110~3339~https://www.youtube.com/watch?v=3DPb6Db0VwWrQ
[BANGTAN BOMB] Eating salad - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~620,126~9~110~3339~https://www.youtube.com/watch?v=3DkSX7SU5jg3U
140910 =EC=A7=80=EB=AF=BC &amp; =EC=A0=95=EA=B5=AD~296,133~9~110~3339~https://www.youtube.com/watch?v=3DAMAaYcaVI58
[BANGTAN BOMB] Hi! Hi! Hi! Hi! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,058,979~9~110~3339~https://www.youtube.com/watch?v=3D3nLoaAWi1sk
[BANGTAN BOMB] recommend the songs (Selfie with VJ Kook) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,222,439~9~110~3339~https://www.youtube.com/watch?v=3DUn77EigBjAk
[BANGTAN BOMB] Touch my body (of SISTAR) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,891,159~9~110~3339~https://www.youtube.com/watch?v=3DkB2qn0YDTx0
[BANGTAN BOMB] stretching doing dance in BTS free time - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,464,648~9~110~3339~https://www.youtube.com/watch?v=3DSgCogoUecJM
[BANGTAN BOMB] SUGA free...? HOPE free!~1,382,380~9~110~3339~https://www.youtube.com/watch?v=3DO1E6Gkw-cMo
[BANGTAN BOMB] BTS Match! (2) hit the bottle top - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,148,530~9~110~3339~https://www.youtube.com/watch?v=3DJRqbLZzMOuE
[BANGTAN BOMB] BTS Match! (1) Omok (SUGA vs Jimin) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~823,805~9~110~3339~https://www.youtube.com/watch?v=3D3JXBM-_fGUQ
140715 =EB=9E=A9=EB=AA=AC=EC=8A=A4=ED=84=B0~94,975~9~110~3339~https://www.youtube.com/watch?v=3DRyq6n3W0grE
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 1st Concert 'BTS 2014 LIVE TRILOGY EPISODE 2! THE RED BULLET'~323,261~9~110~3339~https://www.youtube.com/watch?v=3DThOrxxY0hXk
[BANGTAN BOMB] Various beatbox by BTS (face..dog..monster..etc.) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,682,927~9~110~3339~https://www.youtube.com/watch?v=3D1paQawvrXeM
[BANGTAN BOMB] BTS' selfie recording Danger - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,542,816~9~110~3339~https://www.youtube.com/watch?v=3DyMA2YVQymZ8
[BANGTAN BOMB] Rap Monster Birthday Tweet Relay - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,751,822~9~110~3339~https://www.youtube.com/watch?v=3DT8dG-i6g4Ck
140714  =EC=A7=80=EB=AF=BC~147,470~9~110~3339~https://www.youtube.com/watch?v=3DbRIQGaAcLgw
140710 SUGA~174,639~9~110~3339~https://www.youtube.com/watch?v=3DjKYger3v5YM
[BANGTAN BOMB] =EB=B0=A9=ED=83=84=EB=8F=84=EB=A0=B9=EB=8B=A8 - =E5=8D=B1=E9=9A=AA (Appeal ver.)~18,773,238~9~110~3339~https://www.youtube.com/watch?v=3Drvj2O-O6JGQ
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 2014 CONCERT TEASER~361,212~9~110~3339~https://www.youtube.com/watch?v=3DNfVKG6TRJvE
[EPISODE] BTS' Summer out of the country in 2014~7,115,120~9~110~3339~https://www.youtube.com/watch?v=3Dmw62nvKQwUE
[BANGTAN BOMB] Runway in the night - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~6,982,289~9~110~3339~https://www.youtube.com/watch?v=3Df1zVUalWabo
[BANGTAN BOMB] BTS stretching Time - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~4,980,458~9~110~3339~https://www.youtube.com/watch?v=3DukBl3SfE8TE
[CHOREOGRAPHY] BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8) 'Danger' dance practice~46,236,233~9~110~3339~https://www.youtube.com/watch?v=3DvJwHIpEogEY
[EPISODE] =EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 'Danger' MV Shooting~3,225,201~9~110~3339~https://www.youtube.com/watch?v=3DPGhwAJQFjJk
[EPISODE] =EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 'DARK&amp;WILD' Jacket photo shooting~451,046~9~110~3339~https://www.youtube.com/watch?v=3DY9gL3-D9hqA
BANGTAN NEWS :: DARK&amp;WILD concept Interview~409,224~9~110~3339~https://www.youtube.com/watch?v=3DyZlGHLLZ6_Q
[BANGTAN BOMB] Friday &amp; Some with BTS - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,046,026~9~110~3339~https://www.youtube.com/watch?v=3DFptA2OGnhNo
[BANGTAN BOMB] Before BTS Special stage - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~659,378~9~110~3339~https://www.youtube.com/watch?v=3DTp5p95PJtKc
[BANGTAN BOMB] What am I to you? - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~756,304~9~110~3339~https://www.youtube.com/watch?v=3DBgHgLZlJOOU
140712 V~1,114,938~9~110~3339~https://www.youtube.com/watch?v=3DtcbxLw9AWNg
[BANGTAN BOMB] Play to become the famous Artists!  - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~842,250~9~110~3339~https://www.youtube.com/watch?v=3D1lxRJYMBoCs
[BANGTAN BOMB] You're a holiday , such a holiday (Bee Gees - Holiday) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,705,074~9~110~3339~https://www.youtube.com/watch?v=3DQAyhxF418oc
140708 =EC=A7=84~153,199~9~110~3339~https://www.youtube.com/watch?v=3DUNJPVTkgNMw
[BANGTAN BOMB] BTS run way ! (95z cam #2) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,818,057~9~110~3339~https://www.youtube.com/watch?v=3DQzSSojnPl98
140705 =EC=A0=95=EA=B5=AD~211,919~9~110~3339~https://www.youtube.com/watch?v=3DXuw9UgtO07o
[BANGTAN BOMB] Let's speak English!~11,213,255~9~110~3339~https://www.youtube.com/watch?v=3DcDlSqljhHD0
[BANGTAN BOMB] Nick Name T-shirts! (95z cam #1)~5,015,487~9~110~3339~https://www.youtube.com/watch?v=3DhzRaOnTSIG4
[BANGTAN BOMB] SUGA's way to make a 'ssam' fast! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,131,651~9~110~3339~https://www.youtube.com/watch?v=3D2vASJOQq900
[BTS in NAVER STAR CAST] BTS commentary about =EA=B0=80=EC=9A=94=EB=8C=80=EC=A0=84 Performance (feat. =ED=95=91=ED=81=AC=EC=86=8C=EB=85=84=EB=8B=A8)~2,717,836~9~110~3339~https://www.youtube.com/watch?v=3DSjy9d56Us8A
[BTS in NAVER STAR CAST] BTS 1st MUSTER (Short sketch)~264,688~9~110~3339~https://www.youtube.com/watch?v=3DYKBj73OL9oU
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 Opening NAVER STARCAST 'BTS page'~228,702~9~110~3339~https://www.youtube.com/watch?v=3DXWoT9D-bdTE
[BANGTAN BOMB] =EB=88=88,=EC=BD=94,=EC=9E=85 (EYES, NOSE, LIPS) of Jung Kook (Feat.Jimin)~4,406,896~9~110~3339~https://www.youtube.com/watch?v=3DZVVH--7P-t8
[BANGTAN BOMB] =EB=88=88,=EC=BD=94,=EC=9E=85 (EYES, NOSE, LIPS) of BTS~8,011,542~9~110~3339~https://www.youtube.com/watch?v=3DJ8uOSITy1t0
[BANGTAN BOMB] Whatcha Doin' Today?~6,887,846~9~110~3339~https://www.youtube.com/watch?v=3DYIds9C6pjos
[BANGTAN BOMB] V's magic - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~737,370~9~110~3339~https://www.youtube.com/watch?v=3D5SOkUNQIAnM
[BANGTAN BOMB] Finding Jung Kook by Jimin PD - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,422,296~9~110~3339~https://www.youtube.com/watch?v=3Dmn6JrXmLdsU
[BANGTAN BOMB] ZzzzzZ....Z....zz...zzzZ - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,903,577~9~110~3339~https://www.youtube.com/watch?v=3DFWGmefB5bwo
[BANGTAN BOMB] Something ver.2 by Rap Monster, Jimin, Jin and j-hope! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~688,571~9~110~3339~https://www.youtube.com/watch?v=3D2xMhlTot6TM
[BANGTAN BOMB] The reason why Jung Kook &amp; Jin did running - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~556,629~9~110~3339~https://www.youtube.com/watch?v=3DtCIzlE3JpyE
140118 =EC=A0=9C=EC=9D=B4=ED=99=89 &amp; =EC=A0=95=EA=B5=AD~129,783~9~110~3339~https://www.youtube.com/watch?v=3DrEMEc_LvMQc
140103 =EC=A0=9C=EC=9D=B4=ED=99=89~68,733~9~110~3339~https://www.youtube.com/watch?v=3Df2bwhFVeL80
131014 =EB=9E=A9=EB=AA=AC=EC=8A=A4=ED=84=B0 &amp; =EB=B7=94~92,905~9~110~3339~https://www.youtube.com/watch?v=3DTRdOuRkK-1M
140115 SUGA~89,744~9~110~3339~https://www.youtube.com/watch?v=3DKCM0jjMpEKk
[EPISODE] 1st BTS Birthday Party (Jin chef of BTS)~14,506,128~9~110~3339~https://www.youtube.com/watch?v=3DRhJqNFQCU_Q
[BANGTAN BOMB] suddenly Rap party - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~635,592~9~110~3339~https://www.youtube.com/watch?v=3DQlmgznLNVu8
[BANGTAN BOMB] Always happy happy boy, j-hope! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~798,313~9~110~3339~https://www.youtube.com/watch?v=3Dc2dvXQwmckc
[BANGTAN BOMB] medley show time! (performed by BTS)~12,115,740~9~110~3339~https://www.youtube.com/watch?v=3DheTHSxEJIew
140602 =EC=8A=88=EA=B0=80 &amp; =EC=A7=80=EB=AF=BC &amp; =EC=A0=95=EA=B5=AD~213,639~9~110~3339~https://www.youtube.com/watch?v=3Dc1761HgCaVM
140611 =EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8~1,076,054~9~110~3339~https://www.youtube.com/watch?v=3De2vbEAAC8r0
[EPISODE] BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8) 1st anniversary - so 4 more~2,448,900~9~110~3339~https://www.youtube.com/watch?v=3DLchUwgPashw
[BTS =EA=BF=80 FM 06.13] 1st BTS birthday 'BTS FESTA 2014'~7,409,395~9~110~3339~https://www.youtube.com/watch?v=3DjVGoxbU_T-g
[BTS =EA=BF=80 FM 06.13] Teaser 'Hookgayo'~545,730~9~110~3339~https://www.youtube.com/watch?v=3DS_qQMatfS8I
140602 V~187,581~9~110~3339~https://www.youtube.com/watch?v=3DqCQ_pi2IzYQ
[CHOREOGRAPHY] BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8) 'Beautiful' dance practice~16,673,385~9~110~3339~https://www.youtube.com/watch?v=3Dsm4FFFBgbmg
[CHOREOGRAPHY] BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8) '=EC=96=B4=EB=A5=B8=EC=95=84=EC=9D=B4' dance practice~3,440,450~9~110~3339~https://www.youtube.com/watch?v=3DqaOMutxg1OE
140519 V~185,679~9~110~3339~https://www.youtube.com/watch?v=3DVt9lCXQS-P0
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 1st anniversary celebrations 'BTS FESTA'~399,084~9~110~3339~https://www.youtube.com/watch?v=3D9WlWcrAw7bs
140516 =EC=A0=9C=EC=9D=B4=ED=99=89~74,740~9~110~3339~https://www.youtube.com/watch?v=3DtiVnV7CjglA
[BANGTAN BOMB] Jimin's kiwi juice CF (narration by j-hope) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~526,998~9~110~3339~https://www.youtube.com/watch?v=3DMxyJPlSk-mc
[BANGTAN BOMB] Let's test BTS' nerve!~4,506,801~9~110~3339~https://www.youtube.com/watch?v=3DNOhsj0eMcXc
140515 =EC=A7=80=EB=AF=BC &amp; =EC=A0=95=EA=B5=AD~198,439~9~110~3339~https://www.youtube.com/watch?v=3DnYBEZUXuJKE
140421 =EC=A0=9C=EC=9D=B4=ED=99=89&amp;=EC=A7=80=EB=AF=BC~98,727~9~110~3339~https://www.youtube.com/watch?v=3DPSdyNP3Ji3g
[BANGTAN BOMB] Full moon(of Sunmi) cover ver. by BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,345,476~9~110~3339~https://www.youtube.com/watch?v=3Dy7jFW1XcBao
[BANGTAN BOMB] The way to express the music '=EC=8D=B8(Some)' of SoYou&amp;JunggiGo - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~582,890~9~110~3339~https://www.youtube.com/watch?v=3D39ISVcNIrys
140513 =EB=9E=A9=EB=AA=AC=EC=8A=A4=ED=84=B0~79,200~9~110~3339~https://www.youtube.com/watch?v=3D4CLI5AYEBPE
140410 SUGA~98,065~9~110~3339~https://www.youtube.com/watch?v=3DCC3nfHGFvC8
SUGA=EC=9D=98 Skool Luv Affair Album review~1,026,979~9~110~3339~https://www.youtube.com/watch?v=3DJMPOmcmdAlQ
140406 =EC=A7=80=EB=AF=BC~97,081~9~110~3339~https://www.youtube.com/watch?v=3DZbsI4kLoo7g
140405 =EC=A0=95=EA=B5=AD~124,465~9~110~3339~https://www.youtube.com/watch?v=3DujfshdK9Xhw
[BANGTAN BOMB] 'Just one day' practice (Appeal ver.)~33,526,414~9~110~3339~https://www.youtube.com/watch?v=3DzNJMa43UVs0
140401 =EB=9E=A9=EB=AA=AC=EC=8A=A4=ED=84=B0~124,508~9~110~3339~https://www.youtube.com/watch?v=3DqIXFXafYjks
[BANGTAN BOMB] After Show champion special stage - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~542,931~9~110~3339~https://www.youtube.com/watch?v=3Ds-TTuilIFx8
140404 =EC=A7=84&amp;=EC=A0=9C=EC=9D=B4=ED=99=89~99,225~9~110~3339~https://www.youtube.com/watch?v=3DdlSnSM7uYBo
[BANGTAN BOMB] 'This Love' practice for Show Champion~6,501,457~9~110~3339~https://www.youtube.com/watch?v=3DrExay43Ro28
[BANGTAN BOMB] BTS Cypher ver. Jung Kook &amp; V - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,381,606~9~110~3339~https://www.youtube.com/watch?v=3Dx9rBXOSFSe8
[BANGTAN BOMB] angry j-hope LOL - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,264,119~9~110~3339~https://www.youtube.com/watch?v=3DNwq75jE24sE
[EPISODE] '=ED=95=98=EB=A3=A8=EB=A7=8C(Just one day)' MV shooting Sketch~4,072,373~9~110~3339~https://www.youtube.com/watch?v=3DaO9-0FqR2yo
[BANGTAN BOMB] Rap making by Jimin &amp; Jung Kook - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,090,090~9~110~3339~https://www.youtube.com/watch?v=3DhSDh2HXdtQw
140327 =EC=8A=88=EA=B0=80&amp;=EC=A7=80=EB=AF=BC, =EC=A0=9C=EC=9D=B4=ED=99=89&amp;=EB=B7=94&amp;=EC=A0=95=EA=B5=AD, =EB=9E=A9=EB=AA=AC&amp;=EC=A7=84~227,595~9~110~3339~https://www.youtube.com/watch?v=3DhuZHd6tEgpE
[BANGTAN BOMB] Jutti Meri Oye Hoi Hoi (Catallena of Orange Caramel) - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,122,938~9~110~3339~https://www.youtube.com/watch?v=3DuSVxNc7O36o
[BANGTAN BOMB] V is wearing BOMB..?- BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~566,446~9~110~3339~https://www.youtube.com/watch?v=3DIrsV7pxNHGk
140302 =EC=8A=88=EA=B0=80~112,962~9~110~3339~https://www.youtube.com/watch?v=3Dme91IS5xk90
140224 =EC=A7=80=EB=AF=BC &amp; =EC=A0=95=EA=B5=AD~179,624~9~110~3339~https://www.youtube.com/watch?v=3DI0Zuur3mrCI
140219 =EC=A0=9C=EC=9D=B4=ED=99=89~85,225~9~110~3339~https://www.youtube.com/watch?v=3D7IZgy1kOXuE
[BANGTAN BOMB] 'You don't love me of SPICA' dance by BTS~1,465,203~9~110~3339~https://www.youtube.com/watch?v=3Dn-CzPIaJF-A
140218 V~158,576~9~110~3339~https://www.youtube.com/watch?v=3DwpS471F7GJY
[BANGTAN BOMB] Jung Kook's Dance guide - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~745,679~9~110~3339~https://www.youtube.com/watch?v=3DdznnEUOSW4Q
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 NOW:: BTS in Thailand!~557,857~9~110~3339~https://www.youtube.com/watch?v=3DKUBfbyhp1q0
[BANGTAN BOMB] V's Change Magic show! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,629,505~9~110~3339~https://www.youtube.com/watch?v=3Dt6Gb7rVah6E
[EPISODE] SUGA Birthday support event~582,643~9~110~3339~https://www.youtube.com/watch?v=3DI92iGWGvaaI
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 What are they doing NOW?~398,717~9~110~3339~https://www.youtube.com/watch?v=3DxEvsofEcS8o
[BANGTAN BOMB] 'Don't tease me' dance by BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~3,034,596~9~110~3339~https://www.youtube.com/watch?v=3D8mXTkoxFQoE
=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8 introduce 1st Fanmeeting - MUSTER~1,712,891~9~110~3339~https://www.youtube.com/watch?v=3DXCF3s3bF_lA
[BANGTAN BOMB] Why are you shaking my heart? - V show time! - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~2,891,790~9~110~3339~https://www.youtube.com/watch?v=3DR19nry0tX6s
[BANGTAN BOMB] Something by Jung kook, Jimin and JIN - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~3,439,085~9~110~3339~https://www.youtube.com/watch?v=3DoN-NnNdfBhU
[BANGTAN BOMB] SUGA on the basketball hoop - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~678,956~9~110~3339~https://www.youtube.com/watch?v=3DwlLDRWz6Pvw
[EPISODE] Jung Kook went to High school with BTS!~12,809,114~9~110~3339~https://www.youtube.com/watch?v=3DPCjiBaIc1wU
[BANGTAN BOMB] Battle of acting charming - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~1,429,951~9~110~3339~https://www.youtube.com/watch?v=3DkjDJR5lkiZ4
[BANGTAN BOMB] when BTS was practicing the showcase~7,526,855~9~110~3339~https://www.youtube.com/watch?v=3DQKeXCmmpk28
[BANGTAN BOMB] Boy's confessions by their own way - BTS (=EB=B0=A9=ED=83=84=EC=86=8C=EB=85=84=EB=8B=A8)~575,528~9~110~3339~https://www.youtube.com/watch?v=3DmL2W4uqFHMc
